B_1,B_2,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
