Strike,Price
25,25.011848
26,24.012067
27,23.012441
28,22.013078
29,21.014153
30,20.015876
31,19.018581
32,18.022738
33,17.029005
34,16.038277
35,15.051746
36,14.070971
37,13.098025
38,12.135141
39,11.185339
40,10.252095
41,9.339338
42,8.451344
43,7.593048
44,6.7693
45,5.985103
46,5.245032
47,4.55308
48,3.912955
49,3.327387
50,2.798124
51,2.326004
52,1.910385
53,1.549187
54,1.239898
55,0.979252
56,0.762716
57,0.585541
58,0.442713
59,0.329569
60,0.241544
61,0.174414
62,0.123995
63,0.086686
64,0.059603
65,0.040343
66,0.026828
67,0.017556
68,0.011345
69,0.007196
70,0.004479
71,0.002733
72,0.001615
73,0.000906
74,0.000494
75,0.000257
